string,area-0x130E-0xB28B_7,Atsuko: {,},"高価なのも確かですけど‥‥
何より大切な思い出の品なんです。","It was definitely high-priced...but more than anything, it holds precious memories.",,,
string,area-0x130E-0xB31F_1,Atsuko: {,},"どうか‥どうか指輪を探し出
してください。\n
お願いします。","Please...Please, find the ring.\n
I beg of you.",,,
string,area-0x130E-0xB35E_1,Navi: {,},"あ～ぁ、本気なんですね。\n
じゃ、捜査で得られる情報をもとに
犯人が誰かを考えてくださいね。","Ahh, she's so earnest.\n
Now then, think about who the culprit is based on the information you receive in the investigation.",,,
string,area-0x130E-0xB35E_3,Navi: {,},"\c<$0B>[II]ボタン\c<$0F>で\c<$0B>犯人\c<$0F>というコマン
ドが表示されますから、犯人と思わ
れる人物を選んでください。","You can display the \c<$0B>Culprit\c<$0F> command with the \c<$0B>II Button\c<$0F>, so choose who you think the criminal is.",,,
string,area-0x130E-0xB35E_5,Navi: {,},"選択後は、\c<$0C>その人物が犯人で
あるとの前提で捜査を進めます\c<$0F>。","After choosing, \c<$0C>you will continue the investigation under the assumption that that person is the culprit\c<$0F>.",,,
string,area-0x130E-0xB35E_7,Navi: {,},"コマンドは、いつでも使えま
すから、他の人物が怪しいと思った
なら、選択し直して下さいね。","You can use the command anytime, so if you think someone else is suspicious, pick again.",,,
string,area-0x130E-0xB47F_1,Captain: {,},"‥‥というわけで、あなたに
事件の解決をお願いしたいのです。",...and so I'd like to ask you to take care of resolving the incident.,,,
string,area-0x130E-0xB47F_3,Tachibana: {,},"なるほど。\n
私の管轄とは違うんですが‥。ま、
お引受けしましょう。","I see.\n
It's outside my jurisdiction, though...Whatever. I'll take it on.",,,
string,area-0x130E-0xB4F2_1,Kihara: {,},"はい？指輪が盗まれたぁ？\n
そんな事があったんですか。","Yes? A ring's been stolen?\n
So something like that happened...",,,
string,area-0x130E-0xB4F2_3,May: {,},"それについて、お聞きしたい
事があるんです。",I'd like to ask you some questions about it.,,,
string,area-0x130E-0xB557_1,May: {,},ちょっと聞いていいですか？,Could I ask you about something?,,,
string,area-0x130E-0xB583_1,,,"木原の事　　　　事件の事\n
アリバイ　　　　鍵の事\n
立ち去る","About Kihara
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

Leave",,,
string,area-0x130E-0xB5AA_1,,,"木原の事　　　　事件の事\n
アリバイ　　　　鍵の事\n
物音の事　　　　立ち去る","About Kihara
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xB5DA_1,,,"木原の事　　　　事件の事\n
アリバイ　　　　天井裏の事\n
立ち去る","About Kihara
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the ceiling
\n

Leave",,,
string,area-0x130E-0xB605_1,,,"木原の事　　　　事件の事\n
アリバイ　　　　天井裏の事\n
物音の事　　　　立ち去る","About Kihara
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the ceiling
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xB639_1,Kihara: {,},"わ、私？木原尚子といって、
大学の研究室でハ虫類の研究をして
るの。","M-me? My name's Naoko Kihara, and I do reptile research at a university laboratory.",,,
string,area-0x130E-0xB639_5,Kihara: {,},"主にヘビちゃんの生態に興味
があってね～ぇ。",My chief interest is in snakie ecology.,"NOTE: kihara always refers to snakes as ""hebi-chan""",,
string,area-0x130E-0xB639_7,Kihara: {,},"南の島に住んでる珍しいヘビ
ちゃんが目的で、この船に乗ってる
の。",I'm on this ship to see rare snakies that live on southern islands.,,,
string,area-0x130E-0xB6EC_1,Kihara: {,},"う～ん、船倉でヘビちゃんの
世話をしてたからねぇ。\n
なんにも知らないよ。","Hmm...I was taking care of my snakies in the hold, so I don't know anything about it.",,,
string,area-0x130E-0xB732_1,Kihara: {,},"２時間ぐらい前の事だよねぇ
えぇ～と、ヘビちゃんのご飯を用意
してたんじゃなかったかな。","It was about two hours ago, right? Urrm...I was getting my snakies' food ready, wasn't I?",,,
string,area-0x130E-0xB732_3,May: {,},一人だったんですか？,Were you alone?,,,
string,area-0x130E-0xB732_7,Kihara: {,},"も、もちろん一人だったよ。
部屋の中にいたんだもの。","O-of course I was alone.\n
I was in my room.",,,
string,area-0x130E-0xB732_11,Kihara: {,},"‥‥そ、そういえば‥‥‥。
と、隣の１号室でゴソゴソって物音
がしてたみたいだったよ。","...C-come to think of it...\n
It seemed like there was a rustling sound in Cabin 1 next door.",,,
string,area-0x130E-0xB80E_1,Kihara: {,},"そ、そりゃ一人だったからア
リバイ証明なんて出来ないけど‥。","W-well, I was by myself, so I can't prove my alibi...",,,
string,area-0x130E-0xB84D_1,Kihara: {,},"鍵？？\n
自分の部屋の鍵なら持ってるけど‥
２号室のだよ。","Key??\n
If you mean my room key, I have it, but...it's for Cabin 2.",,,
string,area-0x130E-0xB88D_1,Kihara: {,},"え、え～とねぇ‥‥よく分か
らないんだけど、そ、掃除でもして
たんじゃないのかなぁ？","Uh, uhh, see...I'm not really sure, b-but maybe, like, someone was cleaning something?",,,
string,area-0x130E-0xB8D6_1,Kihara: {,},"て、天井‥裏？\n
へ、へぇ、そんな通路があったんだ
‥‥。","A-above the...ceiling?\n
H-huh, so there's a passage like that...",,,
string,area-0x130E-0xB912_1,Kihara: {,},"へ、へぇっ？\n
指輪を盗んだ犯人が私？？\n
またまた、冗談ばっかりぃ。","H-huh?\n
The thief who stole the ring, ME? Come on, what an utter joke.",,,
string,area-0x130E-0xB912_5,Kihara: {,},"そんなに言うなら、その証拠
を見せてよ。","If you're going to say something like that, show me the proof.",,,
string,area-0x130E-0xB982_1,Kihara: {,},"だ・か・らぁ、私は犯人じゃ
ないって！\n
そんなに言うなら証拠を見せてよ。","I TOLD you, I'm not the thief!\n
If you're going to say something like that, show me PROOF.",,,
string,area-0x130E-0xB9CB_1,Kihara: {,},私は犯人じゃないってぇ!!,I AM _NOT_ THE THIEF!,NOTE: this is used once you've discovered that cabin 1's ceiling access can't be entered,,
string,area-0x130E-0xB9CB_3,May: {,},"否定したってムダ!!\n
天井裏から３号室に侵入できるのは
この２号室だけなんだから。","It's no use denying it!\n
The only place someone could break into Cabin 3 from is here in Cabin 2.",,,
string,area-0x130E-0xB9CB_5,Kihara: {,},"そ、そ、そんなの証拠になっ
てないじゃないっ！",H-h-how's that any kind of proof!?,,,
string,area-0x130E-0xB9CB_7,Kihara: {,},"部屋の中を探してみなよぉ！
どこにも、指輪なんて隠してないん
だからっ!!","Go ahead and search my room!\n
I'm not hiding a ring anywhere!",,,
string,area-0x130E-0xBA9E_1,Motoko: {,},あ～ぁ、開き直っちゃった。,"Aah, she's gone on the offense.",,,
string,area-0x130E-0xBA9E_3,Navi: {,},"彼女が隠した指輪を見つけ出
すしかないでしょうね。","I guess all we can do is find the ring she hid, then.",,,
string,area-0x130E-0xBA9E_5,Navi: {,},"隠し場所と思われる場所を、
探してみましょう。",Let's search places we think could be the hiding spot.,,,
string,area-0x130E-0xBB19_1,Hanada: {,},"な、なんと!!\n
お客さんの指輪が盗まれたとな?!","Wh-what!?\n
The lady's ring got stolen!?","NOTE: literally ""a/the passenger's ring"", but considering he literally ran into the person in question earlier, this seems more natural in english",,
string,area-0x130E-0xBB19_3,May: {,},"それについて、お聞きしたい
事があるんです。",I'd like to ask you some questions about it.,DUPE: F1745,,
string,area-0x130E-0xBB7B_1,May: {,},ちょっと聞いていいですか？,Could I ask you about something?,DUPE: F1746,,
string,area-0x130E-0xBBA7_1,,,"花田の事　　　　事件の事\n
アリバイ　　　　鍵の事\n
立ち去る","About Hanada
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

Leave",,,
string,area-0x130E-0xBBCE_1,,,"花田の事　　　　事件の事\n
アリバイ　　　　鍵の事\n
物音の事　　　　立ち去る","About Hanada
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xBBFE_1,,,"花田の事　　　　鍵の事\n
アリバイ　　　　天井裏の事\n
立ち去る","About Hanada
[sp]<$70>
About the key
\n

Alibi
[sp]<$70>
About the ceiling
\n

Leave",,,
string,area-0x130E-0xBC27_1,,,"花田の事　　　　鍵の事\n
アリバイ　　　　天井裏の事\n
物音の事　　　　立ち去る","About Hanada
[sp]<$70>
About the key
\n

Alibi
[sp]<$70>
About the ceiling
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xBC59_1,Hanada: {,},"はて‥前にもお話した様な気
もするが‥。\n
気のせいじゃったかな？","Let's see...I got a feeling like I told you this before, but...\n
Maybe my memory's fogged?",,,
string,area-0x130E-0xBC59_3,Hanada: {,},"わしは花田っちゅうて、メン
テナンス‥つまり、お客さん方の部
屋の掃除を担当しておる。","Hanada's the name, and I'm on janitorial duty...so's to say, cleaning the passengers' rooms.",DUPE: F1560,,
string,area-0x130E-0xBCDD_1,Hanada: {,},わしは、知らん。,I dunno about it.,,,
string,area-0x130E-0xBD02_1,Hanada: {,},"わ、わしを疑っとるのか?!\n
まったく、面白うないわ。","Y-you think I did it!?\n
Now, that ain't funny.",CHECK,,
string,area-0x130E-0xBD02_5,Hanada: {,},"‥ふん、今日の１０時じゃな
たしか１号室の掃除をしておった。
無論、一人じゃ。","...Hmph. Today at 10:00, mmm...\n
I'd say I was cleaning Cabin 1. On my lonesome, naturally.",,,
string,area-0x130E-0xBD7E_1,Hanada: {,},"メンテナンス担当じゃからな
もちろん、全室の合鍵は持っておる","I'm on cleaning duty.\n
'Course I've got a master key to all the rooms.",,,
string,area-0x130E-0xBDBE_1,Hanada: {,},"ふむ‥２号室か３号室かは知
らんが、確かにドタバタ騒々しかっ
たようじゃったの。","Hmm...I dunno if it was Cabin 2 or 3, but I definitely thought I heard a thumping kinda racket.",,,
string,area-0x130E-0xBE08_1,Hanada: {,},"ほう！\n
犯人は天井を通って、３号室に忍び
込んだという訳じゃな。","Oh-hoh!\n
So that means the culprit went through the ceiling and snuck into Cabin 3, eh.",,,
string,area-0x130E-0xBE08_5,Hanada: {,},"ふ～む‥３号室の入口は、左
舷の部屋‥。つまり２号室と１号室
につながっておるな。","Hmm...The access in Cabin 3's hooked up to the port side rooms...in other words, Cabins 2 and 1.",,,
string,area-0x130E-0xBE94_1,Hanada: {,},"な、なんぞいっ！\n
わしが指輪を盗んだと?!","Wh-what's that!?\n
You say _I_ stole the ring!?",,,
string,area-0x130E-0xBE94_3,Hanada: {,},"しょ、証拠もないのに、何を
言うんじゃ！",Wh-what d'you think you're saying when you've got no proof!?,,,
string,area-0x130E-0xBEF1_1,Hanada: {,},"な、何度言わせるんじゃ?!\n
わしが指輪を盗んだと言うなら、そ
の証拠を見つけてみいっ!!","H-how many times are you gonna make me repeat myself!? If you want to say I stole the ring, find some PROOF!",,,
string,area-0x130E-0xBF43_1,Ms. Tanaka: {,},"えぇっ!!お客さまの指輪
が盗まれたぁ?!\n
そ、そんな事があったんですかぁ？","Whaaat!? A passenger's ring was stoleeen!?\n
S-something like THAT happeeened?",,,
string,area-0x130E-0xBF43_3,May: {,},"それについて、お聞きしたい
事があるんです。",I'd like to ask you some questions about it.,DUPE: F1745,,
string,area-0x130E-0xBFB3_1,Ms. Tanaka: {,},犯人は分かりましたぁ？,Have you found out who did iiit?,,,
string,area-0x130E-0xBFB3_3,May: {,},"い、いえ、あの‥。\n
ちょっと聞きたいんですけど‥‥。","N-no, uh...\n
I wanted to ask you about something...",,,
string,area-0x130E-0xC00A_1,,,"田中さんの事　　事件の事\n
アリバイ　　　　鍵の事\n
立ち去る","About Ms. Tanaka
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

Leave",,,
string,area-0x130E-0xC033_1,,,"田中さんの事　　事件の事\n
アリバイ　　　　鍵の事\n
物音の事　　　　立ち去る","About Ms. Tanaka
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xC065_1,,,"田中さんの事　　事件の事\n
アリバイ　　　　天井裏の事\n
立ち去る","About Ms. Tanaka
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the ceiling
\n

Leave",,,
string,area-0x130E-0xC092_1,,,"田中さんの事　　事件の事\n
アリバイ　　　　天井裏の事\n
物音の事　　　　立ち去る","About Ms. Tanaka
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the ceiling
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xC0C8_1,Ms. Tanaka: {,},"この船の、売店で働いて
るんですぅ。\n
わ、わたしは犯人じゃありません～",I work at the store on this shiiip. I-I'm not the criminaaal.,,,
string,area-0x130E-0xC111_1,Ms. Tanaka: {,},"お客さまにお聞きするま
で知りませんでしたぁ。","I didn't know about it until I heard it from you, ma'aaam.",,,
string,area-0x130E-0xC14A_1,Ms. Tanaka: {,},"１０時頃でしたらぁ、こ
こでお仕事してましたぁ。","Around 10:00, huuuh...Then I was working heeere.",,,
string,area-0x130E-0xC14A_5,Ms. Tanaka: {,},"その時は、メイさまも食
事してらっしゃいましたよねぇ。","You were dining here then too, weren't you, Ms. Maaay?",,,
string,area-0x130E-0xC1B7_1,Ms. Tanaka: {,},"鍵ですかぁ？\n
いいえぇ、お客さま方のお部屋の鍵
なんて、持ってませんですぅ。","Keeey?\n
Nooo, I don't have any keys to the passengers' rooooms.",,,
string,area-0x130E-0xC203_1,Ms. Tanaka: {,},"え？\n
えぇ～とぉ‥そんな音してましたっ
けぇ？","Huh?\n
Uhhhhhmmmm...Was there a sound like thaaat?",,,
string,area-0x130E-0xC239_1,Ms. Tanaka: {,},"て、天井裏ですかぁ？\n
えぇ～とぉ‥何の事でしょうかぁ？","Th-the ceiliiing?\n
Uhhhhhmmmm...What are you talking abouuut?",,,
string,area-0x130E-0xC27A_1,Ms. Tanaka: {,},"えぇ～!!\n
わたしが指輪を盗んだって言うんで
すかぁ?!","_Huuuh!?_\n
You're saying I'M the one that stole the riiing!?",,,
string,area-0x130E-0xC27A_3,Ms. Tanaka: {,},"そんな事ないですぅ。\n
証拠もないでしょおぉ？","I did nooot.\n
You don't have any proof, do youuu?",,,
string,area-0x130E-0xC2E8_1,Ms. Tanaka: {,},"わたし、そんな事してい
ませんですぅ！",I haven't done anything like thaaat!,,,
string,area-0x130E-0xC31B_1,May: {,},ちょっと聞いていいですか？,Could I ask you about something?,DUPE: F1746,,
string,area-0x130E-0xC31B_3,Captain: {,},"やれやれ、困ったお嬢さん方
だ。事件の事は立花刑事にまかせて
おきなさいよ。","Good grief, what a troublesome lady you are. Leave the case up to Detective Tachibana.",,,
string,area-0x130E-0xC383_1,,,"船長の事　　　　事件の事\n
アリバイ　　　　鍵の事\n
立ち去る","About the captain
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

Leave",,,
string,area-0x130E-0xC3AA_1,,,"船長の事　　　　事件の事\n
アリバイ　　　　鍵の事\n
物音の事　　　　立ち去る","About the captain
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xC3DA_1,,,"船長の事　　　　鍵の事\n
アリバイ　　　　天井裏の事\n
立ち去る","About the captain
[sp]<$70>
About the key
\n

Alibi
[sp]<$70>
About the ceiling
\n

Leave",,,
string,area-0x130E-0xC403_1,,,"船長の事　　　　鍵の事\n
アリバイ　　　　天井裏の事\n
物音の事　　　　立ち去る","About the captain
[sp]<$70>
About the key
\n

Alibi
[sp]<$70>
About the ceiling
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xC435_1,Captain: {,},"この『静かの海』号の指揮を
とる。それが私の仕事だ。",I have command of the Silent Sea here. That's my job.,,,
string,area-0x130E-0xC474_1,Captain: {,},"あのような事件が起こるとは
‥‥‥まったく残念だよ。",For an incident like this to happen...How unfortunate.,,,
string,area-0x130E-0xC4AE_1,Captain: {,},"このブリッジにいたよ。\n
ここを離れたのは、事件の事を聞い
た時が初めてだ。","I was on the bridge here.\n
The first time I left was to ask about the incident.",,,
string,area-0x130E-0xC4F5_1,Captain: {,},"客室の鍵の事かね？\n
合鍵なら、私と船員の花田が持って
いるが。","What, the keys to the cabins?\n
If you mean the master keys, myself and Hanada from the crew have them.",,,
string,area-0x130E-0xC53B_1,Captain: {,},"ふ～む、特に気付かなかった
な。",Hmm...I didn't really notice anything.,,,
string,area-0x130E-0xC53B_5,Captain: {,},"ここで聞こえるのは、機関の
作動音と波の音だけさ。\n
これが、男のロマンってもんだな。",All you can hear from here is the roar of the engines and the sound of the waves. Perhaps it's what they call a `man's romance.~,,,
string,area-0x130E-0xC5B0_1,Captain: {,},"確かに、整備用に天井裏への
入口がある。","Certainly, there are accesses in the ceiling for maintenance purposes.",,,
string,area-0x130E-0xC5B0_3,Captain: {,},"３号室の入口は、左舷の部屋
全てにつながっているが‥。","The access in Cabin 3 connects to all the rooms on the port side, but...",,,
string,area-0x130E-0xC5B0_7,Captain: {,},"なるほど、犯人はその入口か
ら侵入したというわけだ。",I get it. So the thief broke in from there.,,,
string,area-0x130E-0xC64E_1,Captain: {,},は？私が犯人だって？？,Huh? You're saying I'M the culprit?,DUPE: F1610,,
string,area-0x130E-0xC64E_5,Captain: {,},"おいおい、バカな事を言わな
いで、事件の事は立花刑事にまかせ
ておきなさい。","Hey, hey, don't say silly things and leave the case up to Detective Tachibana, please.",DUPE: F1611,,
string,area-0x130E-0xC6BA_1,Captain: {,},"おいおい、かんべんしてくれ
よ。証拠もなしに、犯人扱いはない
だろう。","Hey, hey, give me a break. You've got no proof, so no need to treat me like a criminal.",,,
string,area-0x130E-0xC6FD_1,Navigator: {,},"お客さまの指輪が、盗まれ
たんですってね。",I heard a passenger's ring got stolen?,,,
string,area-0x130E-0xC6FD_3,May: {,},"ええ。その事で、ちょっと聞
きたいんですけど。",Right. I wanted to ask you a few things about it.,,,
string,area-0x130E-0xC75D_1,May: {,},ちょっと聞いていいですか？,Could I ask you about something?,DUPE: F1746,,
string,area-0x130E-0xC786_1,,,"航海士の事　　　事件の事\n
アリバイ　　　　鍵の事\n
立ち去る","About the navigator
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

Leave",,,
string,area-0x130E-0xC7AF_1,,,"航海士の事　　　事件の事\n
アリバイ　　　　鍵の事\n
物音の事　　　　立ち去る","About the navigator
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xC7E1_1,,,"航海士の事　　　事件の事\n
アリバイ　　　　天井裏の事\n
立ち去る","About the navigator
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the ceiling
\n

Leave",,,
string,area-0x130E-0xC80E_1,,,"航海士の事　　　事件の事\n
アリバイ　　　　天井裏の事\n
物音の事　　　　立ち去る","About the navigator
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the ceiling
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xC844_1,Navigator: {,},"やだなあ。見て分かりませ
んか？\n
この船の航海士ですよ。","Ah, come on. Can't you tell by looking? I'm this ship's navigator.",,,
string,area-0x130E-0xC884_1,Navigator: {,},"こんな事件が起きたのは、
初めてですよ。",It's the first time there's been an incident like this.,,,
string,area-0x130E-0xC8BA_1,Navigator: {,},"トイレに行ってた時の事な
んですけどね。","Well, when I'd gone off to the bathroom...",,,
string,area-0x130E-0xC8BA_3,Navigator: {,},"ドタバタと騒々しい物音が
してたんですよ。",There was kind of a noisy thumping.,,,
string,area-0x130E-0xC91B_1,Navigator: {,},"ブリッジにいましたよ。\n
‥‥あ、いや‥一度トイレに行った
かな。","I was on the bridge.\n
...Ah, no...I guess I went to the bathroom once.",,,
string,area-0x130E-0xC95B_1,Navigator: {,},"え？\n
客室の合鍵なら、船長と花田さんが
持っているだけですよ。","Huh?\n
If you mean the master keys for the rooms, only the captain and Hanada have them.",,,
string,area-0x130E-0xC9A1_1,Navigator: {,},"トイレに行っていた時に、
ドタバタと騒々しい物音がしてたん
です。","When I went off to the bathroom, there was a noisy thumping sound.",,,
string,area-0x130E-0xC9A1_5,Navigator: {,},"その時は、気にも止めてな
かったんですけど‥。","I wasn't really paying attention to it at the time, but...",,,
string,area-0x130E-0xC9A1_9,Navigator: {,},"もしかしたら犯人が何かし
ていたんじゃないでしょうか。",Maybe the thief could have been doing something or another.,,,
string,area-0x130E-0xCA47_1,Navigator: {,},"天井裏、ですか‥‥？\n
確かに、整備用の入口が各客室にあ
りますけど。","Above the ceiling...?\n
There are definitely accesses in each cabin for maintenance.",,,
string,area-0x130E-0xCA47_3,Navigator: {,},"３号室の入口が、どの部屋
につながっているかは、私には分か
りかねます。","Which rooms the access in Cabin 3 connects to, I don't know.",,,
string,area-0x130E-0xCA47_7,Navigator: {,},"船長か花田さんなら知って
いるんじゃないでしょうか？",Maybe the captain or Hanada would?,,,
string,area-0x130E-0xCB04_1,Navigator: {,},"私を疑ってるんですか？\n
いくら何でも、そりゃヒドイ。\n
証拠を見せてくださいよ。","You think I did it?\n
Any way you look at it, that's just low. Show me the proof.",,,
string,area-0x130E-0xCB52_1,Navigator: {,},私ではありませんよ。,It's not me.,,,
string,area-0x130E-0xCB7D_1,Tachibana: {,},"盗難事件があったんだって？
おれが刑事だったもんで、船長に調
査をお願いされてしまったよ。","I heard there's been a theft?\n
The captain asked me to look into it since I'm a detective.",,,
string,area-0x130E-0xCB7D_5,Tachibana: {,},"見たところ、君らも捜査中っ
て感じだが、何か分かったか？","From the look of it, you two're investigating yourselves.\n
Learned anything?",,,
string,area-0x130E-0xCC0A_1,May: {,},船酔は大丈夫？,Is your seasickness better?,,,
string,area-0x130E-0xCC0A_3,Tachibana: {,},う～む‥ヤバイかもしれん。,Mmm...Might get worse.,CHECK,,
string,area-0x130E-0xCC52_1,,,"立花の事　　　　事件の事\n
アリバイ　　　　鍵の事\n
立ち去る","About Tachibana
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

Leave",,,
string,area-0x130E-0xCC79_1,,,"立花の事　　　　事件の事\n
アリバイ　　　　鍵の事\n
物音の事　　　　立ち去る","About Tachibana
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xCCA9_1,Tachibana: {,},"ヒミツさ。\n
とりあえず刑事だって事だ。","It's a secret.\n
For now, I'll just tell you I'm a police detective.",,,
string,area-0x130E-0xCCDB_1,Tachibana: {,},"まだ具体的な捜査を開始して
いないからな、何とも言えんよ。","I haven't started a concrete investigation yet, so I can't tell you anything.",,,
string,area-0x130E-0xCD1C_1,Tachibana: {,},おれを疑ってるな？,You think _I'm_ a suspect?,,,
string,area-0x130E-0xCD1C_3,Tachibana: {,},"だが、犯行があったと思われ
る時間には、食事をした後、後ろの
甲板でダウンしていたぞ。","But the time they think the crime happened was after I'd eaten, when I was down and out on the bridge.",,,
string,area-0x130E-0xCD1C_5,Tachibana: {,},"その事は君らも知っているは
ずだ。",You two oughta know that already.,,,
string,area-0x130E-0xCDAC_1,Tachibana: {,},"鍵‥ね。\n
たしかに、合鍵を持っている人間を
まず疑うべきだろう。","The key, huh?\n
Yeah, you should probably be suspicious of the people with the master key first.",,,
string,area-0x130E-0xCDEE_1,Tachibana: {,},"犯行予想時刻に物音？\n
そりゃ、調べてみる必要があるな。",A sound at the theorized time of the crime? Better look into that.,,,
string,area-0x130E-0xCE30_1,Tachibana: {,},"おれが犯人だって？\n
お前さんは、\s<$01>[2x]バカ[1x]\s<$02>か。","You say _I'm_ the culprit?[br3]
Are you an \s<$01>[2x]idiot?[1x]\s<$02>",,,
string,area-0x130E-0xCE30_3,Tachibana: {,},"証拠もないのに、デタラメな
事を言うもんじゃない。",Better not go talking nonsense when you've got no proof.,,,
string,area-0x130E-0xCE97_1,Tachibana: {,},　\s<$01>[3x]本気[1x]\s<$02>で思ってるのか？,"You \s<$01>[2x]seriously[1x]\s<$02>[br3]
[br3]
think that?","NOTE: too long to fit on one line in translation, making 2x instead of 3x so third line can be used",,
string,area-0x130E-0xCECA_1,Atsuko: {,},"あ、あの‥指輪は見つかった
でしょうか‥‥？",U-um...Have you found the ring yet...?,,,
string,area-0x130E-0xCECA_3,May: {,},"‥いいえ。\n
ちょっと伺いたいのですが。","...No.\n
But I wanted to talk to you for a minute.",,,
string,area-0x130E-0xCF51_1,Atsuko: {,},"わ、私が犯人？？\n
そんな筈ありませんっ！\n
なんの得もないじゃないですか!!","I-_I'm_ the culprit??\n
No, I'm not! I wouldn't get anything from it, would I!?",,,
string,area-0x130E-0xCFA9_1,Atsuko: {,},"どうか‥どうか指輪を探し出
してください。\n
よろしくお願いします。","Please...Please find the ring.\n
I beg of you.",,,
string,area-0x130E-0xCFEC_1,Masami: {,},"変な事に巻き込んでしまって
申し訳ありません。",I'm so sorry for dragging you into something weird.,,,
string,area-0x130E-0xCFEC_3,May: {,},"そんな‥それより、ちょっと
聞いていいですか？","No, no...But anyway, could I ask you about something?",,,
string,area-0x130E-0xD04C_1,,,"正臣の事　　　　事件の事\n
アリバイ　　　　鍵の事\n
立ち去る","About Masami
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

Leave",,,
string,area-0x130E-0xD073_1,,,"正臣の事　　　　事件の事\n
アリバイ　　　　鍵の事\n
物音の事　　　　立ち去る","About Masami
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the key
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xD0A3_1,,,"正臣の事　　　　事件の事\n
アリバイ　　　　天井裏の事\n
立ち去る","About Masami
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the ceiling
\n

Leave",,,
string,area-0x130E-0xD0CE_1,,,"正臣の事　　　　事件の事\n
アリバイ　　　　天井裏の事\n
物音の事　　　　立ち去る","About Masami
[sp]<$70>
About the incident
\n

Alibi
[sp]<$70>
About the ceiling
\n

About the sound
[sp]<$70>
Leave",,,
string,area-0x130E-0xD102_1,Masami: {,},"僕は朝霧正臣といいまして、
半年前に妻の温子と結婚したんです
が‥。","My name is Masami Asagiri, and I married my wife, Atsuko, half a year ago, but...",,,
string,area-0x130E-0xD102_3,Masami: {,},"仕事が忙しくて、なかなか二
人の時間がとれなかったんです。","I was busy with work, and we couldn't really find time for the two of us.",,,
string,area-0x130E-0xD102_7,Masami: {,},"妻には申し訳なかったんです
けど、遅めの新婚旅行ということで
楽しみにしてたんですが‥。","It was terrible to my wife, and we'd been looking forward to our slightly delayed honeymoon, but...",,,
string,area-0x130E-0xD102_11,Masami: {,},"こんな事になってしまって‥
本当に残念です‥‥‥。","Now this has happened...\n
It's truly unfortunate...",,,
string,area-0x130E-0xD1FB_1,Masami: {,},"なにしろ、ずっと妻と一緒に
いましたからねぇ。","I was with my wife the whole time, you see.",,,
string,area-0x130E-0xD1FB_3,Masami: {,},"食事に出て、甲板で海を見て
‥で、戻ってきたら指輪がなくなっ
ていたんです。","After dining, we went off and watched the ocean on the deck...and when we got back, the ring was gone.",,,
string,area-0x130E-0xD272_1,Masami: {,},"ずっと妻と一緒にいましたよ
‥‥ひょっとして、僕を疑ってるん
ですか？",I was with my wife the whole time. ...Do you think I did it?,,,
string,area-0x130E-0xD2B5_1,Masami: {,},"この部屋の鍵なら、僕が持っ
ていますよ。","If you mean this room's key, I have it.",,,
string,area-0x130E-0xD2E9_1,Masami: {,},"物音がしてたんですか？\n
なんだろう‥僕は気付きませんでし
たが‥‥。","There was a sound?\n
Huh...Well, I didn't notice...",,,
string,area-0x130E-0xD32D_1,Masami: {,},"そんな‥天井裏から侵入して
くるなんて‥‥‥。",No way...A break-in from the ceiling...,,,
